epoch,loss,lr,mean_absolute_error,time,val_loss,val_mean_absolute_error
0,0.28214240074157715,0.001,0.4405600428581238,144.43878483772278,0.1649208962917328,0.33598050475120544
1,0.23467765748500824,0.000765625,0.4004911780357361,79.52534484863281,0.16919465363025665,0.3527346253395080622,0.2174358367919922,0.00053125,0.38545888662338257,79.89742064476013,0.14444313943386078,0.3235177993774414
3,0.20080985128879547,0.000296875,0.3700607419013977,79.12272620201111,0.1332562118768692,0.261188805103302
4,0.19523826241493225,6.25e-05,0.36635830998420715,79.34339809417725,0.1301804929971695,0.26882490515708923
5,0.194085955619812,6.25e-05,0.3633662164211273,79.03610515594482,0.13251644372940063,0.29002705216407776
6,0.19179508090019226,6.25e-05,0.36123931407928467,78.51057147979736,0.13302551209926605,0.2872718274593353
7,0.19144243001937866,6.25e-05,0.36157160997390747,78.96406507492065,0.13302315771579742,0.283056378364563
8,0.19112084805965424,6.25e-05,0.3618878722190857,79.36164999008179,0.14631474018096924,0.3197585642337799
9,0.18928185105323792,6.25e-05,0.3593362867832184,78.0303041934967,0.13430607318878174,0.27834463119506836
4
